song,year,artist,genre,lyrics
13-miles,2007,blink-182,Rock,"13 miles down the road lives a young boy
He's got jet black hair and blue-green eyes
And he's mine
And every now and then, he and I
Would sit together on the porch
And I take off his pants
And I fuck him from behind
And I love him for his heart and soul
And I love his wrinkled scrotum too
So if you see us passing by
On some dreary rainy day
Take a look at the young boy
And his naked asshole"
21-days,2006,blink-182,Rock,"My mind wanders as I'm trying not to fall in love with you
'Cause every time I awake I ponder on my mistakes of
What I said, it is always my esteem that I sure lose
Playing those stupid games as I always end up chasing you
I can't help myself anymore
Rehearsing my thoughts as I'm too scared to come to your door
I pushed it all aside just to stand next to you
But now you won't talk to me for something that I didn't do
It's not gonna work
And I'm trying not to think of you
I'm all confused as I think of the things that I would do
I'm all shook up as I get all nervous inside
My emotions are something that I will always hide"
a-little-s-enough,2006,angels-and-airwaves,Rock,"When all is said and done
Will we still feel pain inside
Will these scars go away with night
Stars smile for the morning light
It's like the best dream to have
Where everything is not so bad
Every tear is so alone
Like God himself is coming home
To say I
I can do anything, if you want me here
And I can fix anything, if you'll let me near
Where are those secrets now
That you're just scared to tell
I whisper them all aloud
So you can hear yourself
Dreams were the first sign
The deepest blue, the clearest sky
The silence came with brightest eyes
Like turning water into wine
The children ran to see
The parents stood in disbelief
And those who know braced for the ride
The Earth itself then came alive
To say I
I can do anything, if you want me here
And I can fix anything, if you'll let me near
Where are those secrets now
That you're just scared to tell
I whisper them all aloud
So you can hear yourself
I'm sorry to say it, but you look like you're sad
Your smile is gone, I noticed it bad
The secret's if you let in just a little more love
I promise you this, a little's enough
I'm sorry to say it, but you look like you're sad
Your smile is gone, I noticed it bad
The secret's if you let in just a little more love
I promise you this, a little's enough
I'm sorry to say it, but you look like you're sad
Your smile is gone, I noticed it bad
The secret's if you let in just a little more love
I promise you this, a little's enough
I'm sorry to say it, but you look like you're sad
Your smile is gone, I noticed it bad
The secret's if you let in just a little more love
I promise you this, a little's enough
Oh oh o o oh oh, oh oh o o oh oh, uh oh oh
Oh oh o o oh oh, oh oh o o oh oh, uh oh oh
Oh oh o o oh oh, oh oh o o oh oh, uh oh oh
Oh oh o o oh oh, oh oh o o oh oh, uh oh oh
I'm sorry to say it, but you look like you're sad
Your smile is gone, I noticed it bad
The secret's if you let in just a little more love
I promise you this, a little's enough
I'm sorry to say it, but you look like you're sad
Your smile is gone, I noticed it bad
The secret's if you let in just a little more love
I promise you this, a little's enough
I'm sorry to say it, but you look like you're sad
Your smile is gone, I noticed it bad
The secret's if you let in just a little more love
I promise you this, a little's enough
I'm sorry to say it, but you look like you're sad
Your smile is gone, I noticed it bad
The secret's if you let in just a little more love
I promise you this, a little's enough"
a-new-hope,2006,blink-182,Rock,"I've got her in my head
At night when I go to bed
And I know it sounds lame, but
She's the girl of my dreams
And of course I'd do anything for her
I'd search the moons of Endor
I'd even walk naked through
The deserts of Tatooine
Princess Leia, where are you tonight?
And who's laying there by your side?
Every night I fall asleep with you
And I wake up alone
And even though I'm not as cool as Han
I still want to be your man
You're exactly the kind of
Alderranian that I need
But when you were available, I was
Drinking Colt 45's with Lando
I was hanging out in the cantina
On Mos Eisley
Princess Leia, where are you tonight?
And who's laying there by your side?
Every night I fall asleep with you
And I wake up alone
Princess Leia
Princess Leia
Princess Leia, where are you tonight?
And who's laying there by your side?
Every night I fall asleep with you
And I wake up alone"
adam-s-song,2000,blink-182,Rock,"I never thought I'd die alone
I laughed the loudest who'd have known?
I trace the cord back to the wall
No wonder it was never plugged in at all
I took my time, I hurried up
The choice was mine I didn't think enough
I'm too depressed to go on
You'll be sorry when I'm gone
I never conquered, rarely came
Sixteen just held such better days
Days when I still felt alive
We couldn't wait to get outside
The world was wide, too late to try
The tour was over, we'd survived
I couldn't wait till I got home
To pass the time in my room alone
I never thought I'd die alone
Another six months I'll be unknown
Give all my things to all my friends
You'll never step foot in my room again
You'll close it off, board it up
Remember the time that I spilled the cup
Of apple juice in the hall
Please tell mom this is not her fault
I never conquered, when you came
Sixteen just held such better days
Days when I still felt alive
We couldn't wait to get outside
The world was wide, too late to try
The tour was over, we'd survived
I couldn't wait till I got home
To pass the time in my room alone"
after-midnight,2011,blink-182,Rock,"I can't get my feet up off the edge
I kinda like the little rush you get
When you're standing close to death
Like when you're driving me crazy
Hold on as we crash into the earth
A bit of pain will help us suffer when you're hurt
For real 'cause you were driving me crazy
Bite your lips, your word's a robbery
Do you grin inside, you're killing me
All along we talked of forever
I kinda think that we won't get better
It's the longest start, but the end is not too far away
Did you know, I'm here to stay
We'll stagger home after midnight
Sleep arm-in-arm in the stairwell
We'll fall apart on the weekend
These nights go on and on and on
I can't keep your voice out of my head
All I can hear are the many echoes of
The darkest words you said
And it's driving me crazy
I can't find the best in all of this
But I'm always looking out for you
'Cause you're the one I miss
And it's driving me crazy
Bite your lips, your word's a robbery
Do you grin inside, you're killing me
All along we talked of forever
I kinda think that we won't get better
It's the longest start, but the end's not too far away
Did you know, I'm here to stay
We'll stagger home after midnight
Sleep arm-in-arm in the stairwell
We'll fall apart on the weekend
These nights go on and on and on
We'll stagger home after midnight
Sleep arm-in-arm in the stairwell
We'll fall apart on the weekend
These nights go on and on and on
We'll stagger home after midnight
Sleep arm-in-arm in the stairwell
We'll fall apart on the weekend
These nights go on and on and on
We'll stagger home after midnight
Sleep arm-in-arm in the stairwell
We'll fall apart on the weekend
These nights go on and on and on"
alien-s-exist,2000,blink-182,Rock,"Hey mom there's something in the backroom
Hope it's not the creatures from above
You used to read me stories
As if my dreams were boring
We all know conspiracies are dumb
What if people knew that these were real
I'd leave my closet door open all night
I know the CIA would say
What you hear is all hearsay
I wish someone would tell me what was right
Up all night long
And there's something very wrong
And I know it must be late
Been gone since yesterday
I'm not like you guys
I'm not like you
I am still a skeptic yes you know me
Been best friends and will be till we die
I got an injection
Of fear from the abduction
My best friend thinks I'm just telling lies
Alright
Up all night long
And there's something very wrong
And I know it must be late
Been gone since yesterday
I'm not like you guys
I'm not like you
Dark and scary, ordinary
Explanation, information
Nice to know ya, paranoia
Where's my mother, biofather
Up all night long
And there's something very wrong
And I know it must be late
Been gone since yesterday
I'm not like you guys
Twelve majestic lies"
all-of-this,2006,blink-182,Rock,"With all of this I know now
Everything inside of my head
It all just goes to show how
Nothing I know changes me at all
Again I waited for this to change instead
To tear the world in two
Another night with her
But I'm always wanting you
Use me Holly come on and use me
We know where we go
Use me Holly come on and use me
We go where we know
With all of this I feel now
Everything inside of my heart
It all just seems to be how
Nothing I feel pulls at me at all
Again I waited for this to pull apart
To break my time in two
Another night with her
But I'm always wanting you
Use me Holly come on and use me
We know where we go
Use me Holly come on and use me
We go where we know
She's all I need
She's all I dream
She's all I'm always wanting
She's all I need
She's all I dream
She's all I'm always wanting you
I'm always wanting you
I'm always wanting you
Use me Holly come on and use me
We know where we go
Use me Holly come on and use me
We go where we know
She's all I need
She's all I dream
She's all I'm always wanting
She's all I need
She's all I dream
She's all I'm always wanting you
And all again I wait for this
To fill a whole, to shake the sky in two
Another night with her
I'm always wanting you
Another night with her
But I'm always wanting you"
all-systems-go,2006,boxcar-racer,Rock,"I left my fear behind me
Of those lights out by the station
The government is lying
The youth they won't believe them
We can't go wrong
Can't get fucked this time
Speak up now, lose
Or get left behind
When will this be over
This cold and bitter season
The government is lying
The truth is found with reason
We can't go wrong
Can't get fucked this time
Speak up now, lose
Or get left behind
We can't go wrong
Can't get fucked this time
Speak up now, lose
Or get left behind
We can't go wrong
Can't get fucked this time
Speak up now, lose
Or get left behind
We are the under rated, all forgotten
Kids who made it
Speak up now, lose
Or get left behind"
all-the-small-things,2000,blink-182,Rock,"All the small things
True care truth brings
I'll take one lift
Your ride best trip
Always I know
You'll be at my show
Watching, waiting, commiserating
Say it ain't so, I will not go
Turn the lights off, carry me home
Na, na, na, na
Na, na, na, na, na, na, na, na, na, na, na
Late night, come home
Work sucks, I know
She left me roses by the stairs
Surprises let me know she cares
Say it ain't so, I will not go
Turn the lights off, carry me home
Na, na, na, na
Na, na, na, na, na, na, na, na, na, na, na
Say it ain't so, I will not go
Turn the lights off, carry me home
Keep your head still, I'll be your thrill
The night will go on, my little windmill
Say it ain't so, I will not go
Turn the lights off, carry me home
Keep your head still, I'll be your thrill
The night will go on
The night will go on
My little windmill"
